movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
The Blue Lagoon,20-06-1980,"Adventure,Drama,Romance",104,Randal Kleiser,"director,actor,writer",1946,alive,5.8,72178,4.642015186,4500000,47923795,47923795
Barbarian,8/9/2022,"Horror,Mystery,Thriller",102,Zach Cregger,"producer,actor,writer",1981,alive,7,127282,5.92186558,4500000,40842944,45352337
Fast Times at Ridgemont High,13-08-1982,"Comedy,Drama",90,Amy Heckerling,"writer,director,producer",\N,alive,7.1,107749,5.921317551,4500000,27092880,27093116
Secrets & Lies,24-05-1996,"Comedy,Drama",136,Mike Leigh,"director,writer,miscellaneous",1943,alive,8,44239,6.164646746,4500000,13417292,16090874
25th Hour,19-12-2002,Drama,135,Spike Lee,"director,producer,writer",1957,alive,7.6,180489,6.636052298,4500000,13084595,25344490
After Hours,13-09-1985,"Comedy,Crime,Drama",97,Martin Scorsese,"producer,director,actor",1942,alive,7.6,71536,6.118557104,4500000,10609321,10609321
Moby Dick,27-06-1956,"Adventure,Drama",116,John Huston,"actor,director,writer",1906,1987,7.3,20516,5.20099796,4500000,10400000,10411840
The Lobster,15-10-2015,"Drama,Romance,Sci-Fi",119,Yorgos Lanthimos,"director,writer,producer",1973,alive,7.1,262470,6.386412201,4500000,9196278,18019834
Bound,4/10/1996,"Crime,Thriller",109,-,-,-,-,7.3,56825,5.748178202,4500000,3802260,7011317
Requiem for a Dream,6/10/2000,Drama,102,Darren Aronofsky,"producer,writer,director",1969,alive,8.3,848849,8.204861201,4500000,3635482,7389233
State Fair,9/3/1962,"Musical,Romance",118,José Ferrer,"actor,soundtrack,director",1912,1992,5.9,1267,2.9695088,4500000,3500000,3500000
Salvador,23-04-1986,"Drama,History,Thriller",122,Oliver Stone,"director,producer,writer",1946,alive,7.4,21918,5.310040619,4500000,1500000,1500000
Donnie Darko,26-10-2001,"Drama,Mystery,Sci-Fi",113,Richard Kelly,"writer,producer,director",1975,alive,8,808230,7.874673225,4500000,1480006,7510154
Blackthorn,7/10/2011,"Action,Adventure,Western",102,Mateo Gil,"writer,director,assistant_director",1972,alive,6.5,9968,4.271374289,4500000,200558,1217307
Maggie,8/5/2015,"Drama,Horror,Sci-Fi",95,Henry Hobson,"miscellaneous,director,art_department",\N,alive,5.6,45047,4.283161481,4500000,187112,1027760
The Sweeney,12/9/2012,"Action,Crime,Drama",112,Nick Love,"writer,producer,director",1969,alive,6.1,19945,4.311700571,4500000,26345,8000366
Falcon Rising,4/9/2014,"Action,Adventure,Crime",103,Ernie Barbarash,"director,producer,writer",\N,alive,5.7,8908,3.682290827,4500000,11774,11774
One Flew Over the Cuckoo's Nest,19-11-1975,Drama,133,Milos Forman,"director,writer,actor",1932,2018,8.7,1013418,8.720057465,4400000,108981275,163274115
Silent Movie,25-06-1976,Comedy,87,Mel Brooks,"actor,writer,soundtrack",1926,alive,6.7,17649,4.688481186,4400000,36145695,36145695
Paa,4/12/2009,"Comedy,Drama",133,R. Balki,"writer,director,producer",1964,alive,7.1,12254,4.78568155,4300000,199228,9791282
Night of the Living Dead,19-10-1990,Horror,92,Tom Savini,"actor,make_up_department,special_effects",1946,alive,6.8,43364,5.210180622,4200000,5835247,5835247
Animal Kingdom,13-08-2010,"Crime,Drama",113,David Michôd,"writer,producer,actor",\N,alive,7.3,58477,5.763569903,4200000,1044039,8078683
Peter Pan,5/2/1953,"Adventure,Animation,Family",77,-,-,-,-,7.3,142977,6.2437627,4000000,87400000,87400000
The Crying Game,25-11-1992,"Crime,Drama,Romance",112,Neil Jordan,"writer,producer,director",1950,alive,7.2,56713,5.66658503,4000000,62546695,62546695
Lost in Translation,12/9/2003,"Comedy,Drama",102,Sofia Coppola,"director,actress,writer",1971,alive,7.7,460221,7.255394755,4000000,44585453,117085297
Annie Hall,20-04-1977,"Comedy,Romance",93,Woody Allen,"writer,director,actor",1935,alive,8,267837,7.22458245,4000000,38251425,38252270
The Boy Next Door,22-01-2015,Thriller,91,Rob Cohen,"producer,director,actor",1949,alive,4.7,43188,3.559036039,4000000,36006065,53401938
The Greatest Show on Earth,10/1/1952,"Drama,Family,Romance",152,Cecil B. DeMille,"producer,director,editor",1881,1959,6.6,14975,4.536754362,4000000,36000000,36000000
Leaving Las Vegas,27-10-1995,"Drama,Romance",111,Mike Figgis,"director,writer,composer",1948,alive,7.5,127042,6.353230859,4000000,31983777,49800000
Monster's Ball,26-12-2001,"Drama,Romance",111,Marc Forster,"producer,director,writer",1969,alive,7.1,90773,5.831758838,4000000,31273922,43766463
